Customer Name,Email,Last Order Date,Total Order Value,Last 3 Items Ordered,
Daniel Contreras,udit.jain+MIStest@solarsales.in,08-04-25,201813,"Choco Sauce, Cola Base, Chocolate Frappe",
Kevin Johnston,udit.jain+MIStest@solarsales.in,07-02-25,126568,"Mint Mojito, Lemon Juice, Lime Juice",
Heather Arnold,udit.jain+MIStest@solarsales.in,13/03/25,192524,"Cola Base, Kiwi Crush, Chocolate Frappe",
Victoria Juarez,udit.jain+MIStest@solarsales.in,27/03/25,216138,"Soda Base, Mint Mojito, Vanilla Frappe",
Ashlee Jackson,udit.jain+MIStest@solarsales.in,15/05/25,51487,"Orange Crush, Choco Sauce, Kiwi Crush",
Walter Williams,udit.jain+MIStest@solarsales.in,03-06-25,206333,"Choco Sauce, Lemon Juice, Cola Base",
Janet Reyes,udit.jain+MIStest@solarsales.in,26/02/25,64694,"Cola Base, Kiwi Crush, Green Apple Syrup",
Brandi Evans,udit.jain+MIStest@solarsales.in,09-06-25,81094,"Chocolate Frappe, Lemon Juice, Mint Mojito",
Robert Hendrix,udit.jain+MIStest@solarsales.in,29/03/25,206283,"Mint Mojito, Lime Juice, Cola Base",
Lauren Wilkerson,udit.jain+MIStest@solarsales.in,02-04-25,125066,"Watermelon Syrup, Mint Mojito, Orange Crush",
Larry Murillo,udit.jain+MIStest@solarsales.in,15/02/25,115812,"Lime Juice, Cola Base, Kiwi Crush",
Jimmy Phillips,udit.jain+MIStest@solarsales.in,23/05/25,206659,"Cola Base, Choco Sauce, Mango Crush",
Kathy Smith MD,udit.jain+MIStest@solarsales.in,19/02/25,74711,"Lemon Juice, Kiwi Crush, Choco Sauce",
Casey Wilson,udit.jain+MIStest@solarsales.in,17/05/25,105277,"Chocolate Frappe, Cola Base, Mango Crush",
Kimberly Bradley,udit.jain+MIStest@solarsales.in,02-04-25,54254,"Watermelon Syrup, Blueberry Syrup, Choco Sauce",
Robert Edwards,udit.jain+MIStest@solarsales.in,13/03/25,218758,"Kiwi Crush, Mango Crush, Lemon Juice",
Abigail Browning,udit.jain+MIStest@solarsales.in,10-03-25,233476,"Green Apple Syrup, Lime Juice, Lemon Juice",
Terry Mcconnell,udit.jain+MIStest@solarsales.in,23/05/25,82353,"Soda Base, Strawberry Crush, Blueberry Syrup",
Dale Flores,udit.jain+MIStest@solarsales.in,13/03/25,120047,"Orange Crush, Mint Mojito, Strawberry Crush",
Cassandra Rivera,udit.jain+MIStest@solarsales.in,02-06-25,115343,"Kiwi Crush, Lemon Juice, Blueberry Syrup",
Margaret Ramirez,udit.jain+MIStest@solarsales.in,20/04/25,194884,"Strawberry Crush, Blueberry Syrup, Mint Mojito",
Jay Powell,udit.jain+MIStest@solarsales.in,11-05-25,157743,"Vanilla Frappe, Choco Sauce, Lemon Juice",
David Moore,udit.jain+MIStest@solarsales.in,06-05-25,102094,"Choco Sauce, Orange Crush, Mango Crush",
Colleen Alvarez,udit.jain+MIStest@solarsales.in,27/01/25,154741,"Green Apple Syrup, Vanilla Frappe, Mint Mojito",
Patty Doyle,udit.jain+MIStest@solarsales.in,06-02-25,194545,"Cola Base, Vanilla Frappe, Kiwi Crush",
David Thomas,udit.jain+MIStest@solarsales.in,04-03-25,60757,"Green Apple Syrup, Cola Base, Orange Crush",
Rachel Murray,udit.jain+MIStest@solarsales.in,31/05/25,159674,"Vanilla Frappe, Choco Sauce, Watermelon Syrup",
Travis Hampton,udit.jain+MIStest@solarsales.in,25/05/25,196516,"Vanilla Frappe, Orange Crush, Lemon Juice",
Steven Garcia,udit.jain+MIStest@solarsales.in,02-02-25,155939,"Mint Mojito, Lemon Juice, Choco Sauce",
Michelle Ferrell DVM,udit.jain+MIStest@solarsales.in,22/01/25,81476,"Orange Crush, Choco Sauce, Kiwi Crush",
Roy Burnett,udit.jain+MIStest@solarsales.in,21/03/25,127812,"Mango Crush, Strawberry Crush, Lime Juice",
Michael Curry,udit.jain+MIStest@solarsales.in,13/05/25,162767,"Vanilla Frappe, Cola Base, Green Apple Syrup",
Dwayne Cook,udit.jain+MIStest@solarsales.in,15/03/25,66269,"Strawberry Crush, Vanilla Frappe, Mango Crush",
Denise Walker,udit.jain+MIStest@solarsales.in,07-04-25,248495,"Mango Crush, Blueberry Syrup, Vanilla Frappe",
Arthur Myers,udit.jain+MIStest@solarsales.in,15/02/25,112054,"Green Apple Syrup, Lemon Juice, Kiwi Crush",
Hannah Armstrong,udit.jain+MIStest@solarsales.in,02-06-25,201673,"Kiwi Crush, Lemon Juice, Orange Crush",
Phyllis Roberts,udit.jain+MIStest@solarsales.in,04-02-25,216918,"Choco Sauce, Chocolate Frappe, Mango Crush",
Victor Mercer,udit.jain+MIStest@solarsales.in,25/01/25,70335,"Cola Base, Strawberry Crush, Orange Crush",
Cody Romero,udit.jain+MIStest@solarsales.in,25/03/25,123461,"Watermelon Syrup, Lemon Juice, Green Apple Syrup",
Michelle Rodriguez,udit.jain+MIStest@solarsales.in,30/01/25,68555,"Orange Crush, Lemon Juice, Mint Mojito",
Tammy Bryant,udit.jain+MIStest@solarsales.in,19/02/25,202660,"Choco Sauce, Strawberry Crush, Kiwi Crush",
Brenda Lowe,udit.jain+MIStest@solarsales.in,17/04/25,120455,"Choco Sauce, Mint Mojito, Strawberry Crush",
Brooke Byrd,udit.jain+MIStest@solarsales.in,08-03-25,87641,"Choco Sauce, Mango Crush, Blueberry Syrup",
Lisa Estrada,udit.jain+MIStest@solarsales.in,13/06/25,90792,"Watermelon Syrup, Chocolate Frappe, Vanilla Frappe",
Amy Johnson,udit.jain+MIStest@solarsales.in,07-05-25,153447,"Watermelon Syrup, Mint Mojito, Lemon Juice",
Craig Oliver,udit.jain+MIStest@solarsales.in,03-05-25,50594,"Mint Mojito, Soda Base, Vanilla Frappe",
Travis Boone,udit.jain+MIStest@solarsales.in,29/05/25,69302,"Mint Mojito, Vanilla Frappe, Watermelon Syrup",
Kristine Roberts,udit.jain+MIStest@solarsales.in,18/02/25,76332,"Blueberry Syrup, Choco Sauce, Cola Base",
Timothy Brown,udit.jain+MIStest@solarsales.in,24/01/25,164856,"Watermelon Syrup, Orange Crush, Chocolate Frappe",
Alejandra Smith,udit.jain+MIStest@solarsales.in,04-04-25,97077,"Lemon Juice, Mint Mojito, Soda Base",
Peter Ewing,udit.jain+MIStest@solarsales.in,08-02-25,208275,"Lime Juice, Mango Crush, Cola Base",
Allison Garcia,udit.jain+MIStest@solarsales.in,25/05/25,148453,"Vanilla Frappe, Choco Sauce, Mango Crush",
Kimberly Roth DVM,udit.jain+MIStest@solarsales.in,18/05/25,58017,"Orange Crush, Choco Sauce, Cola Base",
Morgan Roth,udit.jain+MIStest@solarsales.in,05-02-25,175652,"Cola Base, Soda Base, Lime Juice",
